Country Name,Country Code,Indicator Name,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
Grenada,GRD,GDP per capita (current US$),5057.173965,5040.670468,5213.896269,5682.5961,5741.598633,6644.02496,6658.540847,7212.506822,7832.423352,7290.6971,7257.756622,7291.058897,7444.504768,7789.776381,8369.886755,9096.870646,9628.347487,10152.83281,10485.90716,10965.51316
Greenland,GRL,GDP per capita (current US$),19004.10729,19275.47334,20652.87833,27459.76278,32023.45221,32489.78191,35458.12312,39780.95144,44367.05565,44918.56488,43988.33249,47186.98147,45936.76595,47535.58995,50484.92757,44536.40131,48181.87419,50321.36875,54470.95639,
Guatemala,GTM,GDP per capita (current US$),1664.298958,1575.428557,1710.341468,1765.351677,1889.691824,2101.541818,2287.935715,2531.20608,2848.50316,2695.221264,2898.942215,3281.667502,3408.784916,3522.773698,3779.642328,3994.636913,4173.301666,4451.45099,4472.892363,4619.987097
Guam,GUM,GDP per capita (current US$),,,21536.36688,22572.0753,24395.79762,26495.87758,26555.6452,27542.22617,29056.31429,30026.50321,30700.43401,30859.40435,32494.56236,33265.38119,34394.09748,35278.92594,35562.83791,35615.80463,35712.56214,
Guyana,GUY,GDP per capita (current US$),954.4041525,955.6653806,974.9491933,997.2100346,1056.423886,1105.496454,1954.133308,2331.200342,2566.887085,2756.819889,3033.247725,3425.436441,3788.146749,3934.865262,4031.600662,4166.128516,4542.622067,4586.054572,4979.002188,5468.356629
High income,HIC,GDP per capita (current US$),25102.87696,24717.11664,25605.89658,28529.97621,31558.43266,33172.20055,34797.80678,37807.87106,39888.60952,37123.94591,38650.14499,41536.18271,41343.83883,41628.48055,42293.54451,39730.91955,40332.26339,41971.23735,44351.03906,44540.39409
"Hong Kong SAR, China",HKG,GDP per capita (current US$),25756.66378,25230.21633,24665.89,23977.01945,24928.10037,26649.7508,28224.21506,30594.01784,31515.66277,30697.34038,32549.99823,35142.48793,36730.8767,38403.77771,40315.28556,42431.88828,43731.10682,46165.85651,48542.88733,48755.83508
Honduras,HND,GDP per capita (current US$),1080.462129,1120.552212,1122.063942,1145.497561,1204.476619,1296.695959,1420.136121,1572.065504,1727.827701,1789.706651,1904.346465,2088.3153,2144.342611,2102.593166,2206.051934,2302.201379,2342.584651,2453.727896,2505.776752,2574.912191
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),351.6044066,326.6373588,341.6989738,378.2688913,422.8004334,467.8116855,541.2781946,629.2276633,739.0828424,728.302897,779.1447554,840.1037469,862.6179163,937.5807608,962.9292205,927.4845955,897.4932554,929.4107113,955.5189073,947.0612336
Croatia,HRV,GDP per capita (current US$),4849.534223,5391.091591,6233.053682,8060.257162,9662.775968,10530.21991,11703.33789,13962.84757,16309.43901,14555.99645,13923.62858,14566.63847,13238.10193,13642.19366,13600.19439,11782.89908,12360.48382,13412.33829,14920.19138,14853.23984
